,Actual Text,Generated Text
10,भाजपा विधायक दल के नेता इस तटीय राज्य के अगले मुख्यमंत्री के रूप में कार्यभार संभालेंगे भाजपा के नवनिर्वाचित विधायक राज्य की राजधानी पणजी स्थित पार्टी मुख्यालय में आयोजित बैठक में भाग ले रहे हैं ,गोवा में नया मुख्यमंत्री चुनने के लिए भारतीय जनता पार्टी भाजपा की एक महत्वपूर्ण बैठक सोमवार को पणजी में शुरू हुई है.
11,प्रधानमंत्री नरेन्द्र मोदी दिसंबर शुक्रवार को शाम बजे अंतरराष्ट्रीय भारती महोत्सव- को वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे ,प्रधानमंत्री नरेन्द्र मोदी शुक्रवार को नई दिल्ली में अंतरराष्ट्रीय भारती महोत्सव- को वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे.
12,सात फरवरी को आयी आपदा में यहां पर लखीमपुर खीरी के साथ ही सहारनपुर अमरोहा श्रावस्ती के साथ अन्य जिलों के सैकड़ों लोगों के फंसे होने की संभावना है इस संबंध में राहत आयुक्त उत्तर प्रदेश लगातार उत्तराखंड सरकार के साथ समन्वय कर रहे हैं किसी भी प्रकार की जानकारी मिलने पर पीड़ित से सम्पर्क किया जा रहा है ,उत्तराखंड के चमोली जिला में बड़ी आपदा में उत्तर प्रदेश सरकार ने अपने दरवाजे खोल दिए हैं इसके साथ ही वहां पर फंसे लोगों की खोज-बचाव व उनके परिवारों से समन्वय की कार्रवाई की जा रही है.
13,उत्तर रेलवे ने यात्रियों की बढ़ती संख्या को देखते हुए हुजूर साहिब नांदेड़ से जम्मू तवी और तिरुपती से हजरत निजामुद्दीन के बीच पूरी तरह से रिजर्व नई स्पेशल ट्रेनों का ऐलान किया है इन ट्रेनों में यात्रा के लिए यात्रियों को रिजर्वेशन करवाना ही होगा और यात्रा के दौरान कोविड नियमों का पालन करना होगा ,दिल्ली के उत्तर रेलवे ने कोरोना वायरस संक्रमण के चलते नई ट्रेनें चलाने की घोषणा की है.
14,भोपाल के इंडियन इंस्टीट्यूट ऑफ साइंस एजुकेशन एंड रिसर्च आईआईएसईआर के शोधकर्ताओं ने कृत्रिम मेधा पर आधारित एक किफायती तंत्र विकसित करने का दावा किया है जो परिसर में लोगों की आवाजाही पर नजर रखेगा और अगर कहीं पर सामाजिक दूरी के नियम का उल्लंघन हो रहा होगा तो वह चेतावनी के तौर पर एक रिकॉर्डेड संदेश भेजेगा ,कोरोना वायरस संक्रमण के प्रसार को रोकने के लिए वैज्ञानिकों ने एक ऐसा तंत्र विकसित किया है जो परिसर में लोगों की आवाजाही पर नजर रखेगा.
15,उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने हिंदू पथ प्रदर्शक के रूप में अपने जीवन से बड़ी छवि बनाई है उनके भगवा वस्त्र उनके हिंदुत्व के लगभग आक्रामक ब्रांड को रेखांकित करते हैं- जिस तरह से अविश्वासियों को आशंकित होना चाहिए ,उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने हिंदू पथ प्रदर्शक का रूप में अपने जीवन से बड़ी छवि बनाई है-
16,आम आदमी पार्टी आप ने पंजाब में सत्तारूढ़ कांग्रेस से दिल्ली की सीमाओं पर प्रदर्शन कर रहे किसानों को पुलिस सुरक्षा मुहैया कराने की मांग की वहीं पंजाब के मुख्यमंत्री अमरिंदर सिंह ने आप की इस मांग को मनमाना बेतुका और अतार्किक बताया ,आम आदमी पार्टी ने दिल्ली की सीमाओं पर प्रदर्शन कर रहे किसानों को पुलिस सुरक्षा मुहैया कराने की मांग की है.
17,केरल उच्च न्यायालय ने एर्नाकुलम जिले के त्रिक्ककारा नगरपालिका क्षेत्र में सड़कों पर रहने वाले कुत्तों को जहर देने के मामले में सुनवाई करते हुए कहा कि कोई कुत्ता परिस्थितियों से खूंखार बनता है और यह महज धारणा है कि आवारा कुत्ते स्वभाव से खतरनाक होते हैं ,कोच्चि केरल उच्च न्यायालय ने एर्नाकुलम जिले के त्रिक्ककारा नगरपालिका क्षेत्र में सड़कों पर रहने वाले कुत्तों को जहर देने के मामले की सुनवाई करते हुए कहा है कि कुत्ते स्वभाव से खतरनाक होते हैं और यह महज धार
18, नए साल के कार्यक्रम आयोजित करने के लिए भी पहले से ही अनुमति लेनी होगी आलोक सिंह ने जनपद वासियों से अपील की है कि कोविड- के संक्रमण की वजह से लोग अपने घरों में रहकर नव वर्ष का स्वागत करें ,नए साल आने में अब कुछ ही घंटे रह गए हैं युवाओं के लिए यह बेसब्री से इंतजार है.
19,उत्तर प्रदेश में विधानसभा चुनाव से पहले उत्तर प्रदेश को से हिस्सों में बांटने को लेकर सोशल मीडिया पर एक खबर वायरल हो रही है जिसमें दावा किया जा रहा है कि केंद्र सरकार उत्तर प्रदेश को - हिस्सों में विभाजित करने और पूर्वांचल को अलग राज्य बनाने पर विचार कर रही है ,सोशल मीडिया पर एक खबर वायरल हो रही है जिसमें दावा किया जा रहा है कि केंद्र सरकार उत्तर प्रदेश को - हिस्सों में विभाजित करने और पूर्वांचल को अलग राज्य बनाने पर विचार कर رہی है.
20,कांग्रेस ने रेलवे समेत कई सरकारी विभागों में भर्तियों में विलंब और बेरोजगारी की स्थिति को लेकर शुक्रवार को सरकार पर निशाना साधते हुए सवाल किया कि जब लोगों को भर्ती ही नहीं किया जाना था तो फिर लोकसभा चुनाव से कुछ महीने पहले हजारों रिक्तियों की अधिसू,कांग्रेस ने कहा है कि देश के करोड़ों लोगों को गरीबी की गर्त में धकेला जा रहा है और यह सरकार गरीब विरोधी है.
21,केंद्रीय मंत्री रामविलास पासवान ने प्रणब मुखर्जी के निधन पर उन्हें सियासत का शिखर पुरुष बताया उन्होंने कहा कि प्रणब मुखर्जी सर्वगुण संपन्न थे इसलिए राजग ने भी उनके राष्ट्रपति बनने का समर्थन किया था ,केंद्रीय मंत्री रामविलास पासवान ने राष्ट्रपति प्रणब मुखर्जी के निधन पर उन्हें सियासत का शिखर पुरुष बताया है और कहा है कि उनका मृदुभाषी सौम्य चेहरा हमेशा हमें प्रेरणा देता रहेगा
22,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत ने कहा कि यदि किसानों को जमीन बचानी है तो उन्हें देश के लुटेरों के खिलाफ लड़ाई लड़नी होगी ,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत ने कहा है कि सरकार अगर रक्षा मंत्री राजनाथ सिंह को बातचीत करने की आजादी दे तो सम्मानजक फैसला हो जाएगा
23,हैदराबाद में गत्तीपल्ली शिवलाल नामक देश के पहले बौने व्यक्ति को ड्राइविंग लाइसेंस दिया गया है गत्तीपल्ली शिवलाल ने कहा मैं साल का हूं मैंने ड्राइविंग स्कूल में सिखने के लिए आवेदन दिया पर मुझे किसी ने नहीं सिखाया मैं दिव्यांग लोगों के लिए ड्राइविंग स्कूल खोलना चाहता हूं ,तेलंगाना की मंजिल उन्हीं को मिलती है जिनके सपनों में जान होती थी और अब तक उनका नाम दर्ज नहीं किया गया है.
24,देश में करोड़ से अधिक कोविड- टीके लगाए जाने के बीच केंद्रीय स्वास्थ्य मंत्रालय ने शनिवार को कहा कि भारत ने दिन में करोड़ खुराक दी हैं जो विश्व का सबसे तेज टीकाकरण अभियान है ,केंद्रीय स्वास्थ्य मंत्रालय ने कहा है कि भारत ने दिन में करोड़ टीके लगाए हैं और वह दुनिया का सबसे तेज टीकाकरण अभियान चलाने वाला देश बन गया है.
25,बड़े मुस्लिम धर्मगुरु और ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड के जनरल सेक्रेटरी मौलाना वली रहमानी का निधन हो गया है ,ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड के जनरल सेक्रेटरी मौलाना वली रहमानी का शनिवार को पटना में निधन हो गया है.
26,जिला मुख्यालयों के साथ ही राज्य स्तर पर कंट्रोल रूम बनाया गया है जहां से वेबकास्टिंग के माध्यम से परीक्षा की कड़ी निगरानी की जा रही है ,उत्तर प्रदेश में हाईस्कूल और इंटरमीडिएट की परीक्षा शांति एवं शुचितापूर्ण तरीके से कराने के लिए प्रशासन की ओर से तमाम तरह के इंतजाम कराए गए हैं.
27,हरियाणा से कांग्रेस के राज्यसभा सदस्य दीपेंद्र सिंह हुड्डा के कोरोना वायरस से संक्रमित होने की रविवार को पुष्टि हुई ,चंडीगढ़ हरियाणा से कांग्रेस के राज्यसभा सदस्य दीपेंद्र सिंह हुड्डा के कोरोना वायरस से संक्रमण की पुष्टि हुई है.
28,उत्तर प्रदेश की सात विधानसभा सीटों पर हुए उपचुनाव के लिए मतगणना मंगलवार को होगी और प्रशासन की तरफ से सुचारू मतगणना के लिये व्यापक इंतजाम किये गए हैं ,उत्तर प्रदेश की सात विधानसभा सीटों पर हुए उपचुनाव के लिए मतगणना मंगलवार को होगी और प्रशासन की तरफ से सुचारू मतदान के लिये व्यापक इंतजाम किये गए हैं.
29,केन्द्र के नये विवादित कृषि कानूनों के खिलाफ प्रदर्शन कर रहे किसानों द्वारा सोमवार को आहूत भारत बंद का उत्तर प्रदेश में मिला-जुला असर दिखा राज्य के प्रमुख विपक्षी दलों- समाजवादी पार्टी बहुजन समाज पार्टी और कांग्रेस ने किसानों के इस भारत बंद का समर्थन किया था ,केंद्र के नए विवादित कृषि कानूनों के खिलाफ प्रदर्शन कर रहे किसानों द्वारा सोमवार को आहूत भारत बंद का उत्तर प्रदेश में मिला-जुला असर दिखा है.
30,भारत और चीन के बीच उच्च स्तरीय सैन्य वार्ता का एक और दौर आज होगा जिसमें पूर्वी लद्दाख में टकराव वाले शेष बिंदुओं से सैनिकों की वापसी प्रक्रिया में कुछ आगे बढ़ने पर ध्यान दिया जाएगा ,भारतीय और चीनी सेनाओं के बीच पूर्वी लद्दाख में वास्तविक नियंत्रण रेखा (एलएसी) को पार करने की प्रक्रिया आज से शुरू होगी.
31,महाराष्ट्र गुजरात राजस्थान उत्तराखंड के किसान कह रहे हैं कि नए कानूनों से उन्हें फायदा मिला और वो फायदा उठा रहे हैं इससे ये बात तो साफ हो गई कि कम से कम देश के सभी किसान ना तो नए कानूनों से नाराज हैं और ना नए कृषि कानूनों को किसानों के खिलाफ बता रहे हैं ,नए कृषि कानूनों के विरोध में दिल्ली के बॉर्डर पर किसान धरने पर बैठे हैं लेकिन अब ये सवाल पूछा जा रहा है कि क्या उन्हें दिक्कत है?
32,बॉलीवुड एक्टर और गोरखपुर से बीजेपी सांसद रविकिशन ने लोकसभा में ड्रग्स का मुद्दा उठाया है उन्होंने कहा कि फिल्म इंडस्ट्री में ड्रग्स एडिक्शन और ट्रैफिकिंग की गतिविधियां बढ़ती जा रही हैं ,कोरोना वायरस महामारी की छाया के बीच संसद आज से दिन के मॉनसून सत्र शुरू हो गया है जिसमें सांसदों और कर्मचारियों को कोविड- संक्रमण नहीं होने की पुष्टि कराई गयी है.
33,शनिवार को मां शैलपुत्री की पूजा के साथ ही गोरखनाथ मंदिर मठ के प्रथम तल स्थित शक्ति मंदिर में दुर्गा सप्तशती पाठ शुरू हो जाएगा ,उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने शुक्रवार को अयोध्या और बलरामपुर के धार्मिक स्थलों पहुंचकर पूजा अर्चना की.
34,भारत में दिनों के बाद एक दिन में कोविड- के सबसे कम लाख मामले आए जबकि और लोगों के जान गंवाने से मृतकों की संख्या पर पहुंच गई है ,प्रधानमंत्री नरेन्द्र मोदी ने रविवार को उत्तर प्रदेश राजस्थान छत्तीसगढ़ और पुडुचेरी के मुख्यमंत्रियों से उनके राज्यों में कोविड- की स्थिति पर बात की है.
35,निर्वाचन आयुक्त सुशील चंद्रा का देश का अगला मुख्य निर्वाचन आयुक्त बनना तय हो गया है सूत्रों ने रविवार को यह जानकारी दी ,भारत सरकार ने नयी दिल्ली निर्वाचन आयुक्त सुशील चंद्रा को केंद्रीय प्रत्यक्ष कर बोर्ड के अध्यक्ष नियुक्त कर दिया है.
36,कानपुर नगर से कुछ दूर सचेंडी थाना क्षेत्र के पास तेज गति से जा रही एक बस ने लोडर विक्रम टैम्पो को जोरदार टक्कर मार दी इस हादसे में लोगों की मौत हो गई ,उत्तर प्रदेश के कानपुर नगर से कुछ दूर सचेंडी थाना क्षेत्र के पास एक बस और लोडर विक्रम टैम्पो की जोरदार टक्कर में सात लोगों की मौत हो गई है जबकि पांच घायल हैं
37,सदन की कार्यवाही आरंभ होने पर लोकसभा अध्यक्ष ओम बिरला ने बुधवार की घटना को लेकर अपनी पीड़ा व्यक्त की और सदस्यों को चेतावनी दी कि अगर भविष्य में संसद की गरिमा के प्रतिकूल घटनाओं की पुनरावृत्ति की गई तो वह कार्रवाई करेंगे ,लोकसभा में एक दिन पहले कांग्रेस के कुछ सदस्यों की ओर से कागज उछालने की घटना को लेकर सत्तापक्ष और विपक्ष के बीच तीखी नोकझोंक शुरू हो गई है.
38,पशुपतिनाथ मंदिर में स्वतंत्रता दिवस के कार्यक्रम के दौरान दूर्वा पूजा में इस्तेमाल होने वाली खास तरह की घास के जल से शिवलिंग का अभिषेक किया गया और देश की समृद्धि तथा सुरक्षा की प्रार्थना की गई ,भारत के स्वतंत्रता दिवस की तारीख से आठ दिन पहले ही मध्य प्रदेश के मंदसौर शहर के प्रसिद्ध पशुपतिनाथ मंदिर में आजादी का सालाना पर्व मना लिया गया.
39,सोशल मीडिया पर वायरल पत्र में कहा जा रहा है कि डिजिटल इंडिया मिशन द्वारा कथित रूप से जारी एक नियुक्ति पत्र नौकरी के लिए रूपए की सिक्योरिटी का भुगतान करने का अनुरोध कर रहा है ,नई दिल्ली सोशल मीडिया पर डिजिटल इंडिया मिशन का एक नियुक्ति पत्र काफी वायरल हो रहा है जिसमें नौकरी के लिए रूपए की सिक्योरिटी का भुगतान करने का अनुरोध किया गया है.
40,अपने बयानों के लिये अक्सर चर्चा में रहने वाले भाजपा विधायक सुरेंद्र सिंह ने कांग्रेस के पूर्व अध्यक्ष राहुल गांधी को दोहरे चरित्र का विदेशी मानसिकता वाला व्यक्ति करार देते हुए उन्हें राष्ट्रवादी लोगों से ट्यूशन पढ़ने की सलाह दी है ,हाथरस में हुए सामूहिक बलात्कार के मामले में कांग्रेस के पूर्व अध्यक्ष राहुल गांधी को दोहरे चरित्र का विदेशी मानसिकता वाला व्यक्ति करार देते हुये उन्हें राष्ट्रवादी लोगों से ट्यूशन पढ़ने की सलाह दी गई है भाज
41,नए कृषि कानूनों के विरोध में आज से किसान जंतर-मंतर पर अपना विरोध प्रदर्शन शुरू करेंगे दिल्ली पुलिस ने किसान संगठनों को जंतर-मंतर पर प्रदर्शन की इजाजत दे दी है ,दिल्ली में नए कृषि कानूनों के विरोध में आज से किसान जंतर-मंतर पर अपना प्रदर्शन शुरू करेंगे
42,बीते घंटे में दिन का अधिकतम तापमान बाड़मेर में डिग्री सेल्सियस जैसलमेर में डिग्री सेल्सियस दर्ज किया गया,जयपुर गर्मी ने राजस्थान में अपने तेवर दिखाने शुरू कर दिए हैं जहां बाड़मेर जिले में दिन का तापमान डिग्री सेल्सियस के पार पहुंच गया है.
43,कानपुर पुलिस आयुक्तालय की अपराध शाखा ने ऑक्सीजन ब्लैक-मार्केटिंग रैकेट का भंडाफोड़ किया और सिलेंडर बरामद किए इस सिलसिले में शहर के गोविंद नगर इलाके में गैस एजेंसी के मालिक को गिरफ्तार किया गया है ,कानपुर पुलिस आयुक्तालय की अपराध शाखा ने ऑक्सीजन ब्लैक-मार्केटिंग रैकेट का भंडाफोड़ किया और सिलेंडर बरामद किए इस सिलसिले में शहर के गोविंद नगर इलाके में गैस एजेंसी के मालिक जसवंत सिंह
44,बीजेपी का वोट बैंक हिंदु है लेकिन मुस्लिम वोटरों का भी मत भाजपा को मिला है जानिए देश और सबसे बड़े राज्य यूपी में से के बीच लोकसभा और विधानसभा में बीजेपी के मुस्लिम वोटर में क्या फर्क नजर आया ,उत्तर प्रदेश के कुशीनगर में बीजेपी समर्थक बाबर अली की हत्या के मामले में दो उदाहरण सामने आए हैं.
45,उत्तर-पश्चिम भारत में करीब एक सप्ताह तक लू के प्रकोप के बाद शुक्रवार को तापमान में गिरावट देखी गई लेकिन क्षेत्र में मानसून की स्थिति बेहतर नहीं होने से उच्च आर्द्रता के कारण लोगों को उमस भरी गर्मी का सामना करना पड़ा ,भारत की राजधानी दिल्ली में शुक्रवार को तापमान में गिरावट देखी गई लेकिन पश्चिमी उत्तर प्रदेश पंजाब हरियाणा और राजस्थान में भीषण गर्मी का कहर जारी रहा.
46,ट्रैक्टर में आग लगाने की घटना पर भाजपा नेता और केंद्रीय मंत्री धर्मेंद्र प्रधान ने कहा कि कांग्रेस ने दिल्ली में आज अपना असली चेहरा दिखाया है ,भारत की राजधानी दिल्ली में राष्ट्रपति राम नाथ कोविंद के तीन कृषि विधेयकों का विरोध कर रहे पंजाब यूथ कांग्रेस के कार्यकर्ताओं ने एक ट्रैक्टर में आग लगा दी और जमकर हंगामा किया.
47,क्रिकेट जगत में भारत के दो बार के विश्व विजेता कप्तान महेंद्र सिंह धोनी ने इंटरनेशनल क्रिकेट को अलविदा कह दिया है ,भारत के दो बार के विश्व विजेता कप्तान महेंद्र सिंह धोनी ने इंटरनेशनल क्रिकेट को अलविदा कह दिया है.
48,लापरवाही के सामने आने के बाद हॉस्पिटल प्रशासन मामले को दबाने में जुटा है हॉस्पिटल के अधिकारियों का कहना है कि हमने परिसर में छिड़काव करवा रखा है लेकिन महिला के साथ अगर कोई वाकया हुआ है तो उसकी जांच कराई जाएगी ,सरकारी हॉस्पिटलों में लापरवाही के बारे में सुनकर हर कोई हैरान है लेकिन कुछ ऐसा भी हुआ है जिसमें महिलाओं की आंखों की पलकों को चूहों ने कुतर दिया.
49, नए साल के पहले ही दिन घने कोहरे ने दिल्ली को अपने आगोश में ले लिया सुबह छह बजे से ही कोहरा बढ़ने लगा है और कुछ ही क्षणों में दृश्यता लगभग शून्य हो गई ,नए साल के पहले दिन राजधानी दिल्ली और आसपास के इलाकों में कड़ाके की ठंड देखने को मिल रही है.
50, अजित डोभाल के घर आज सुबह एक शख्स गाड़ी लेकर अंदर जाने की कोशिश कर रहा था तभी उसे स्टाफ ने पकड़ लिया और अब इससे लोकल पुलिस और स्पेशल सेल पूछताछ कर रही है ,दिल्ली पुलिस ने राष्ट्रीय सुरक्षा सलाहकार अजित डोभाल के घर में एक शख्स को हिरासत में लेकर आगे की पूछताछ शुरू कर दी है
51,नोएडा के सेक्टर में स्थित कोविड- अस्पताल की चिकित्सा अधीक्षक डॉ रेणु अग्रवाल ने बताया कि नोएडा में कोरोना वायरस संक्रमण की वजह से हुई मौतों का विश्लेषण किया गया और पाया गया कि ज्यादातर मरीजों को दिल का दौरा पड़ा ,भारत में कोरोना वायरस संक्रमण की वजह से होने वाली मौतों के आंकड़े में तेजी से बढ़ोतरी हुई है और देशभर में कोविड- की चपेट में आए लोगों में से एक प्रतिशत को दिल का दौरा पड़ने के कारण म
52,बरुआ ने कहा कि सरमा की यह पहल राज्य की लंबे समय से चली आ रही समस्याओं को हल करने की दिशा में वास्तविक और साहसिक कदम प्रतीत होती है ,गुवाहाटी प्रतिबंधित उग्रवादी संगठन यूनाइटेड लिबरेशन फ्रंट ऑफ असम उल्फा स्वतंत्र ने कहा है कि यदि शांति वार्ता के लिए पूर्व मुख्यमंत्री हिमंत बिस्व सरमा को केंद्र द्वारा मध्यस्थ नियुक्त किया जाता है तो उसे
