,Human Summary,Generated Summary
11,प्रधानमंत्री नरेन्द्र मोदी दिसंबर शुक्रवार को शाम बजे अंतरराष्ट्रीय भारती महोत्सव- को वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे ,नई दिल्ली/चेन्नई प्रधानमंत्री नरेन्द्र मोदी दिसंबर शुक्रवार को शाम बजे अंतरराष्ट्रीय भारती महोत्सव- को वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे इस साल यह महोत्सव वर्चुअल मोड में आयोजित किया जा रहा है इस कार्यक्रम में राष्ट्रीय और अंतरराष्ट्रीय कवि और कलाकार शामिल होंगे महाकवि सुब्रमण्य भारती की वीं जयंती मनाने के लिए वनविल कल्चरल सेंटर द्वारा महोत्सव का
12,सात फरवरी को आयी आपदा में यहां पर लखीमपुर खीरी के साथ ही सहारनपुर अमरोहा श्रावस्ती के साथ अन्य जिलों के सैकड़ों लोगों के फंसे होने की संभावना है इस संबंध में राहत आयुक्त उत्तर प्रदेश लगातार उत्तराखंड सरकार के साथ समन्वय कर रहे हैं किसी भी प्रकार की जानकारी मिलने पर पीड़ित से सम्पर्क किया जा रहा है ,लखनऊ उत्तराखंड के चमोली जिला में बड़ी आपदा में उत्तर प्रदेश सरकार ने मदद के लिए अपने दरवाजे खोल दिए हैं इसके साथ ही वहां पर फंसे लोगों को बाहर निकालने में सहयोग देने के साथ यूपी सरकार ने इमरजेंसी ऑपरेशन कंट्रोल रूम भी स्थापित किया जिसके लिए हेल्पलाइन के साथ व्हाट्सएप नम्बर भी जारी किया गया है मुख्यमंत्री योगी ने उत्तराखंड राज्य सरकार से समन्वय के लिए दो अधिकारियों
13,उत्तर रेलवे ने यात्रियों की बढ़ती संख्या को देखते हुए हुजूर साहिब नांदेड़ से जम्मू तवी और तिरुपती से हजरत निजामुद्दीन के बीच पूरी तरह से रिजर्व नई स्पेशल ट्रेनों का ऐलान किया है इन ट्रेनों में यात्रा के लिए यात्रियों को रिजर्वेशन करवाना ही होगा और यात्रा के दौरान कोविड नियमों का पालन करना होगा ,नई दिल्ली कोरोना काल में यात्रियों की सुविधा को देखते हुए भारतीय रेलवे लगातार नई ट्रेनें चलाने का ऐलान कर रहा है अब उत्तर रेलवे ने यात्रियों की बढ़ती संख्या को देखते हुए हुजूर साहिब नांदेड़ से जम्मू तवी और तिरुपती से हजरत निजामुद्दीन के बीच पूरी तरह से रिजर्व नई स्पेशल ट्रेनों का ऐलान किया है इन ट्रेनों में यात्रा के लिए यात्रियों को
14,भोपाल के इंडियन इंस्टीट्यूट ऑफ साइंस एजुकेशन एंड रिसर्च आईआईएसईआर के शोधकर्ताओं ने कृत्रिम मेधा पर आधारित एक किफायती तंत्र विकसित करने का दावा किया है जो परिसर में लोगों की आवाजाही पर नजर रखेगा और अगर कहीं पर सामाजिक दूरी के नियम का उल्लंघन हो रहा होगा तो वह चेतावनी के तौर पर एक रिकॉर्डेड संदेश भेजेगा ,नई दिल्ली भोपाल के इंडियन इंस्टीट्यूट ऑफ साइंस एजुकेशन एंड रिसर्च आईआईएसईआर के शोधकर्ताओं ने कृत्रिम मेधा पर आधारित एक किफायती तंत्र विकसित करने का दावा किया है जो परिसर में लोगों की आवाजाही पर नजर रखेगा और अगर कहीं पर सामाजिक दूरी के नियम का उल्लंघन हो रहा होगा तो वह चेतावनी के तौर पर एक रिकॉर्डेड संदेश भेजेगा अधिकारियों ने
15,उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने हिंदू पथ प्रदर्शक के रूप में अपने जीवन से बड़ी छवि बनाई है उनके भगवा वस्त्र उनके हिंदुत्व के लगभग आक्रामक ब्रांड को रेखांकित करते हैं- जिस तरह से अविश्वासियों को आशंकित होना चाहिए ,लखनऊ उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने हिंदू पथ प्रदर्शक के रूप में अपने जीवन से बड़ी छवि बनाई है उनके भगवा वस्त्र उनके हिंदुत्व के लगभग आक्रामक ब्रांड को रेखांकित करते हैं- जिस तरह से अविश्वासियों को आशंकित होना चाहिए उनके स्पिन डॉक्टर उनके हिंदू समर्थक मुस्लिम विरोधी पढ़ें रुख को पेश करने में आनंद लेते हैं लेकिन तथ्य एक अलग कहानी बताते हैं यूपी
16,आम आदमी पार्टी आप ने पंजाब में सत्तारूढ़ कांग्रेस से दिल्ली की सीमाओं पर प्रदर्शन कर रहे किसानों को पुलिस सुरक्षा मुहैया कराने की मांग की वहीं पंजाब के मुख्यमंत्री अमरिंदर सिंह ने आप की इस मांग को मनमाना बेतुका और अतार्किक बताया ,नयी दिल्ली आम आदमी पार्टी आप ने पंजाब में सत्तारूढ़ कांग्रेस से दिल्ली की सीमाओं पर प्रदर्शन कर रहे किसानों को पुलिस सुरक्षा मुहैया कराने की मांग की वहीं पंजाब के मुख्यमंत्री अमरिंदर सिंह ने आप की इस मांग को मनमाना बेतुका और अतार्किक बताया आप प्रवक्ता राघव चड्ढा ने रविवार को सिंह को पत्र लिखकर कहा कि पंजाब पुलिस को किसानों को
17,केरल उच्च न्यायालय ने एर्नाकुलम जिले के त्रिक्ककारा नगरपालिका क्षेत्र में सड़कों पर रहने वाले कुत्तों को जहर देने के मामले में सुनवाई करते हुए कहा कि कोई कुत्ता परिस्थितियों से खूंखार बनता है और यह महज धारणा है कि आवारा कुत्ते स्वभाव से खतरनाक होते हैं ,कोच्चि केरल उच्च न्यायालय ने एर्नाकुलम जिले के त्रिक्ककारा नगरपालिका क्षेत्र में सड़कों पर रहने वाले कुत्तों को जहर देने के मामले में सुनवाई करते हुए कहा कि कोई कुत्ता परिस्थितियों से खूंखार बनता है और यह महज धारणा है कि आवारा कुत्ते स्वभाव से खतरनाक होते हैं न्यायमूर्ति ए के जयशंकरन नांबियार और न्यायमूर्ति पी गोपीनाथ
18, नए साल के कार्यक्रम आयोजित करने के लिए भी पहले से ही अनुमति लेनी होगी आलोक सिंह ने जनपद वासियों से अपील की है कि कोविड- के संक्रमण की वजह से लोग अपने घरों में रहकर नव वर्ष का स्वागत करें ,नोएडा नया साल आने में अब कुछ ही घंटे रह गए हैं युवाओं को नए साल का बेसब्री से इंतजार है इस साल कोरोना महामारी की वजह से तमाम त्योहार और उत्सव के मौकों पर होने वाले समारोह को या तो टाल दिया गया था या फिर कड़े प्रोटोकॉल लगाए गए थे अब जब कोरोना से कुछ राहत मिलती दिखाई पड़ रही है ऐसे में युवा नए
19,उत्तर प्रदेश में विधानसभा चुनाव से पहले उत्तर प्रदेश को से हिस्सों में बांटने को लेकर सोशल मीडिया पर एक खबर वायरल हो रही है जिसमें दावा किया जा रहा है कि केंद्र सरकार उत्तर प्रदेश को - हिस्सों में विभाजित करने और पूर्वांचल को अलग राज्य बनाने पर विचार कर रही है ,नई दिल्ली उत्तर प्रदेश में विधानसभा चुनाव से पहले उत्तर प्रदेश को से हिस्सों में बांटने को लेकर सोशल मीडिया पर एक खबर वायरल हो रही है जिसमें दावा किया जा रहा है कि केंद्र सरकार उत्तर प्रदेश को - हिस्सों में विभाजित करने और पूर्वांचल को अलग राज्य बनाने पर विचार कर रही है बता दें कि में उत्तर प्रदेश में विधानसभा चुनाव होने वाले हैं उत्तर प्रदेश जनसंख्या
20,कांग्रेस ने रेलवे समेत कई सरकारी विभागों में भर्तियों में विलंब और बेरोजगारी की स्थिति को लेकर शुक्रवार को सरकार पर निशाना साधते हुए सवाल किया कि जब लोगों को भर्ती ही नहीं किया जाना था तो फिर लोकसभा चुनाव से कुछ महीने पहले हजारों रिक्तियों की अधिसू,नयी दिल्ली कांग्रेस ने रेलवे समेत कई सरकारी विभागों में भर्तियों में विलंब और बेरोजगारी की स्थिति को लेकर शुक्रवार को सरकार पर निशाना साधते हुए सवाल किया कि जब लोगों को भर्ती ही नहीं किया जाना था तो फिर लोकसभा चुनाव से कुछ महीने पहले हजारों रिक्तियों की अधिसूचना क्यों जारी की गई पार्टी के मुख्य प्रवक्ता रणदीप सुरजेवाला ने संयुक्त राष्ट्र और अंतरराष्ट्रीय श्रम संगठन आईएलओ
21,केंद्रीय मंत्री रामविलास पासवान ने प्रणब मुखर्जी के निधन पर उन्हें सियासत का शिखर पुरुष बताया उन्होंने कहा कि प्रणब मुखर्जी सर्वगुण संपन्न थे इसलिए राजग ने भी उनके राष्ट्रपति बनने का समर्थन किया था ,नई दिल्ली केंद्रीय मंत्री रामविलास पासवान ने प्रणब मुखर्जी के निधन पर उन्हें सियासत का शिखर पुरुष बताया उन्होंने कहा कि प्रणब मुखर्जी सर्वगुण संपन्न थे इसलिए राजग ने भी उनके राष्ट्रपति बनने का समर्थन किया था मंत्री पासवान ने कहा में भारत रत्न से सम्मानित प्रणब दा हमेशा शोषित वंचितों के कल्याण के लिए हमेशा तत्पर रहे उनमें दलीय राजनीति से ऊपर सबको साथ लेकर चलने
22,भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत ने कहा कि यदि किसानों को जमीन बचानी है तो उन्हें देश के लुटेरों के खिलाफ लड़ाई लड़नी होगी ,आगरा उत्तर प्रदेश के आगरा के किरावलीे मौनी बाबा आश्रम स्थित मिनी स्टेडियम में बुधवार को आयोजित किसान महापंचायत को संबोधित करते हुये भारतीय किसान यूनियन के राष्ट्रीय प्रवक्ता राकेश टिकैत ने कहा कि यदि किसानों को जमीन बचानी है तो उन्हें देश के लुटेरों के खिलाफ लड़ाई लड़नी होगी राकेश टिकैत ने कहा कि कृषि कानूनों के नाम
23,हैदराबाद में गत्तीपल्ली शिवलाल नामक देश के पहले बौने व्यक्ति को ड्राइविंग लाइसेंस दिया गया है गत्तीपल्ली शिवलाल ने कहा मैं साल का हूं मैंने ड्राइविंग स्कूल में सिखने के लिए आवेदन दिया पर मुझे किसी ने नहीं सिखाया मैं दिव्यांग लोगों के लिए ड्राइविंग स्कूल खोलना चाहता हूं ,तेलंगाना कहते हैं मंजिल उन्हीं को मिलती है जिनके सपनों में जान होती है ये लाइनें हैदराबाद के निवासी गट्टीपल्ली शिवपाल पर सटीक बैठती हैं गट्टीपल्ली शिवपाल देश में ड्राइविंग लाइसेंस प्राप्त करने वाले पहले बौने व्यक्ति हैं इतना ही नहीं लिम्का बुक आफ रिकार्ड में भी गट्टीपल्ली शिवपाल का नाम दर्ज हो गया है हैदराबाद में गत्तीपल्ली शिवलाल
24,देश में करोड़ से अधिक कोविड- टीके लगाए जाने के बीच केंद्रीय स्वास्थ्य मंत्रालय ने शनिवार को कहा कि भारत ने दिन में करोड़ खुराक दी हैं जो विश्व का सबसे तेज टीकाकरण अभियान है ,नयी दिल्ली जहां देश में एक ओर कोरोना संक्रमण के मामले तेजी से बढ़ रहे हैं वहीं दूसरी ओर भारत सरकार ने देश में कोरोना टीकाकरण को लेकर दुनिया में नया कीर्तिमान स्थापित कर दिया देश में कोविड- रोधी खुराकों की संख्या करोड़ से अधिक होने के बीच केंद्रीय स्वास्थ्य मंत्रालय ने शनिवार को कहा कि भारत ने दिन में करोड़ टीके लगाए हैं और वह
25,बड़े मुस्लिम धर्मगुरु और ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड के जनरल सेक्रेटरी मौलाना वली रहमानी का निधन हो गया है ,नई दिल्ली बड़े मुस्लिम धर्मगुरु और ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड के जनरल सेक्रेटरी मौलाना वली रहमानी का निधन हो गया है मौलाना वली रहमानी के इंतकाल की जानकारी देते हुए ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड ने ट्विटर पर लिखा जनरल सेक्रेटरी मौलाना वली रहमानी साहब नहीं रहे यह पूरे मुस्लिम उम्मा के लिए एक अपूरणीय क्षति है सभी से दुआ
26,जिला मुख्यालयों के साथ ही राज्य स्तर पर कंट्रोल रूम बनाया गया है जहां से वेबकास्टिंग के माध्यम से परीक्षा की कड़ी निगरानी की जा रही है ,लखनऊ उत्तर प्रदेश माध्यमिक शिक्षा परिषद यूपी बोर्ड की हाईस्कूल और इंटरमीडिएट की परीक्षा शांति एवं शुचितापूर्ण तरीके से कराने के लिए प्रशासन की ओर से तमाम तरह के जरूरी इंतजाम कराए गए हैं लखनऊ में जिलाधिकारी डीएम अभिषेक प्रकाश खुद फील्ड में निकल चुके हैं और वे शहर के विभिन्न परीक्षा केंद्रों का निरीक्षण कर रहे हैं अभिषेक प्रकाश ने गवर्मेन्ट इंटर कालेज जु
27,हरियाणा से कांग्रेस के राज्यसभा सदस्य दीपेंद्र सिंह हुड्डा के कोरोना वायरस से संक्रमित होने की रविवार को पुष्टि हुई ,चंडीगढ़ हरियाणा से कांग्रेस के राज्यसभा सदस्य दीपेंद्र सिंह हुड्डा के कोरोना वायरस से संक्रमित होने की रविवार को पुष्टि हुई हरियाणा से एकमात्र विपक्षी सांसद हुड्डा फिलहाल दिल्ली में हैं उन्होंने ट्वीट किया मेरी कोविड- की रिपोर्ट में संक्रमण की पुष्टि हुई है और चिकित्सकों की सलाह पर अन्य जांच की जा रही है हरियाणा के पूर्व मुख्यमंत्री भूपेंद्र सिंह हुड्डा के बेटे दीपेन्द्र ने अपने
28,उत्तर प्रदेश की सात विधानसभा सीटों पर हुए उपचुनाव के लिए मतगणना मंगलवार को होगी और प्रशासन की तरफ से सुचारू मतगणना के लिये व्यापक इंतजाम किये गए हैं ,लखनऊ उत्तर प्रदेश की सात विधानसभा सीटों पर हुए उपचुनाव के लिए मतगणना मंगलवार को होगी और प्रशासन की तरफ से सुचारू मतगणना के लिये व्यापक इंतजाम किये गए हैं इन सीटों पर तीन नवंबर को उप-चुनाव हुआ था उपचुनाव में औसतन फीसदी मतदाताओं ने प्रत्याशियों की किस्मत का फैसला ईवीएम में कैद कर दिया था जिन सीटों पर उपचुनाव हुआ था उनमें नौगांव सादा
29,केन्द्र के नये विवादित कृषि कानूनों के खिलाफ प्रदर्शन कर रहे किसानों द्वारा सोमवार को आहूत भारत बंद का उत्तर प्रदेश में मिला-जुला असर दिखा राज्य के प्रमुख विपक्षी दलों- समाजवादी पार्टी बहुजन समाज पार्टी और कांग्रेस ने किसानों के इस भारत बंद का समर्थन किया था ,लखनऊ समाजवादी पार्टी सपा के अध्यक्ष एवं उत्तर प्रदेश के पूर्व मुख्यमंत्री अखिलेश यादव ने केन्द्र के नए विवादित कृषि कानूनों के खिलाफ प्रदर्शन कर रहे किसानों द्वारा सोमवार को आहूत भारत बंद को सफल करार दिया और कहा कि भारत बंद की राष्ट्रव्यापी सफलता ने भारतीय जनता पार्टी भाजपा के हाथ-पैर फुला दिए हैं और भाजपा के नेता व समर्थक घर से निकलने
30,भारत और चीन के बीच उच्च स्तरीय सैन्य वार्ता का एक और दौर आज होगा जिसमें पूर्वी लद्दाख में टकराव वाले शेष बिंदुओं से सैनिकों की वापसी प्रक्रिया में कुछ आगे बढ़ने पर ध्यान दिया जाएगा ,नई दिल्ली भारत और चीन के बीच उच्च स्तरीय सैन्य वार्ता का एक और दौर आज होगा जिसमें पूर्वी लद्दाख में टकराव वाले शेष बिंदुओं से सैनिकों की वापसी प्रक्रिया में कुछ आगे बढ़ने पर ध्यान दिया जाएगा सरकारी सूत्रों ने शनिवार को बताया कि वार्ता पूर्वी लद्दाख में वास्तविक नियंत्रण रेखा के चीनी पक्ष पर मोल्डो सीमा बिंदु पर सुबह साढ़े दस बजे शुरू होगी भारतीय पक्ष से
31,महाराष्ट्र गुजरात राजस्थान उत्तराखंड के किसान कह रहे हैं कि नए कानूनों से उन्हें फायदा मिला और वो फायदा उठा रहे हैं इससे ये बात तो साफ हो गई कि कम से कम देश के सभी किसान ना तो नए कानूनों से नाराज हैं और ना नए कृषि कानूनों को किसानों के खिलाफ बता रहे हैं ,नई दिल्ली महाराष्ट्र गुजरात राजस्थान उत्तराखंड के किसान कह रहे हैं कि नए कानूनों से उन्हें फायदा मिला और वो फायदा उठा रहे हैं इससे ये बात तो साफ हो गई कि कम से कम देश के सभी किसान ना तो नए कानूनों से नाराज हैं और ना नए कृषि कानूनों को किसानों के खिलाफ बता रहे हैं अब सवाल ये है कि आखिर फिर दिल्ली के बॉर्डर पर किसान
